participant_id,group,num_course_tasks_solved,num_course_tasks_total,num_drills_attempted,num_drills_solved,drill_success_rate,total_time_minutes,num_runs_code,num_python_errors,num_progress_errors,num_help_requests,num_chat_messages,num_drill_selections_ai,bmi_tasks_solved,bmi_tasks_total,bmi_completion_rate,bmi_time_minutes,bmi_runs_code,bmi_python_errors,bmi_progress_errors,bmi_help_requests,bmi_avg_hint_level
P001,B,12,20,12,12,1,31.97,43,5,25,5,6,12,12,12,1,31.97,43,5,0,5,3
P003,A,12,20,12,12,1,18.9,19,4,3,0,0,0,12,12,1,18.9,19,4,0,0,0
P004,A,20,20,19,19,1,41.13,55,9,26,0,0,0,12,12,1,18.73,27,3,0,0,0
P007,B,8,20,8,8,1,45.27,30,4,17,3,4,9,8,12,0.6667,45.27,30,4,0,3,2
P008,A,12,20,12,12,1,17.4,21,0,9,0,0,0,12,12,1,17.4,21,0,0,0,0
P009,B,12,20,12,12,1,32.03,32,8,11,5,6,13,12,12,1,32.03,32,8,0,5,2.2
P010,B,12,20,12,12,1,46.25,44,2,30,5,6,12,12,12,1,46.25,44,2,0,5,3
P011,B,12,20,11,11,1,204.3,55,26,11,8,9,12,12,12,1,161.77,55,26,0,8,3.25
P012,A,12,20,12,12,1,12.45,13,1,0,0,0,0,12,12,1,12.45,13,1,0,0,0
P014,A,1,20,0,0,0,2.13,6,2,3,0,0,0,1,12,0.0833,2.13,6,2,0,0,0
P015,B,20,20,20,20,1,72.57,57,15,15,11,12,20,12,12,1,32.7,26,7,0,6,2.67
P017,A,12,20,12,12,1,28.8,14,1,1,0,0,0,12,12,1,28.8,14,1,0,0,0
P019,A,12,20,12,12,1,85.47,15,1,0,0,0,0,12,12,1,32.23,15,1,0,0,0
P020,B,12,20,12,12,1,10.6,19,1,6,0,1,12,12,12,1,10.6,19,1,0,0,0
P022,A,12,20,12,12,1,16,28,5,8,0,0,0,12,12,1,16,28,5,0,0,0
P023,B,12,20,12,12,1,45.5,27,11,2,8,9,12,12,12,1,45.5,27,11,0,8,1.5
P024,B,14,20,14,14,1,25.2,58,1,43,3,3,14,12,12,1,19.23,15,0,0,0,0
P025,A,12,20,12,12,1,28.68,29,7,8,0,0,0,12,12,1,28.68,29,7,0,0,0
