entry_status,source_path,target_path,filename,size_bytes,sha256
included,analysis/output/Drill_Diversity_Entropy_Comparison.png,analysis/output/Drill_Diversity_Entropy_Comparison.png,Drill_Diversity_Entropy_Comparison.png,91835,3121570a75c6c68ba3612e57a9f8e05fc1c8afb929de5a54fe3a9dee5571b66a
included,analysis/output/boxplot_bmi_python_errors.png,analysis/output/Performance_BMI_Python_Errors_Boxplot.png,Performance_BMI_Python_Errors_Boxplot.png,127113,800fb0bb8943603b14eba16dfb9678955522e11a8c1dac936f0e37d640effc72
included,analysis/output/boxplot_bmi_time_minutes.png,analysis/output/Performance_BMI_Time_Comparison.png,Performance_BMI_Time_Comparison.png,133619,141a0b9167b6783decb24f4b05bb941297ba75933d65eab2c5d35fcfb97e9e23
included,analysis/output/chat_vs_errors_correlation_group_b.png,analysis/output/Correlation_ChatIntensity_vs_PythonErrors_GrpB.png,Correlation_ChatIntensity_vs_PythonErrors_GrpB.png,264552,2dd6797cf28ca0c487742f4ad3977b0c88e4f95f0eec63f871dcd9119cd65277
included,analysis/output/errors_per_step_by_group_labeled.png,analysis/output/Process_Errors_per_Step_Timeline.png,Process_Errors_per_Step_Timeline.png,169366,4761855893a6e243696adedbdabe0bbe1171960ea0cc4fa7270b9453394a52ff
included,analysis/output/ki_usage_chat_sent_group_b.png,analysis/output/AI_Usage_Total_Messages_GrpB.png,AI_Usage_Total_Messages_GrpB.png,101851,0d57c8fd2f9e9d82c99273046da927fd48158d482f31cf801044745acd95ab62
included,analysis/output/korrelation_performance_vergleich.png,analysis/output/Correlation_Experience_vs_Time_and_Errors.png,Correlation_Experience_vs_Time_and_Errors.png,414919,3298e0a1c352af172593eb518da40647228f23c8862793e7e1b665faa58dabbc
included,analysis/output/korrelation_tlx_vergleich.png,analysis/output/Correlation_Experience_vs_Frustration_and_Effort.png,Correlation_Experience_vs_Frustration_and_Effort.png,417764,49bc31a996f7866d243b22d1398d190cbebeab36f234a4f2b4c1d36b9a498ad0
included,analysis/output/neu_barplot_chat_per_step_gruppe_b.png,analysis/output/AI_Usage_Messages_per_Step_GrpB.png,AI_Usage_Messages_per_Step_GrpB.png,220399,2a543a25f22d71c623c6a7343fe12d41b23448b10116930d627e5cc0d95246af
included,analysis/output/neu_barplot_drill_attempts_difficulty.png,analysis/output/Performance_Drill_Attempts_Comparison.png,Performance_Drill_Attempts_Comparison.png,148344,d996258ccf7a9b76ac559ee49869109a37664f35fb80590228117cc73a4030d2
included,analysis/output/neu_drill_diversity_comparison.png,analysis/output/Drill_Diversity_Unique_Tasks_Comparison.png,Drill_Diversity_Unique_Tasks_Comparison.png,7544,46c0521164031aef390125b2089159e67bb45f0e0e7a397ff6068a4487c713ac
included,analysis/output/neu_boxplot_ki_items_distribution.png,analysis/output/AI_Evaluation_Items_Distribution_GrpB.png,AI_Evaluation_Items_Distribution_GrpB.png,190585,42be8db084fbd2ae722c7b7482b36dd94bfdc6d4b22c4ef175e3375f51647162
included,analysis/output/performance_drill_korrelation_clean.png,analysis/output/Correlation_Experience_vs_Drill_Performance.png,Correlation_Experience_vs_Drill_Performance.png,414428,ecabd40489a56f209c53bc03a84ea794bc064f13f5c1325b220e3d03a18ae172
included,analysis/output/Demographics_Age_Distribution.png,analysis/output/Demographics_Age_Distribution.png,Demographics_Age_Distribution.png,130746,79e5362a92890e5c88e6a25f4ed2ea10fb1ce8058559c51c1e1b5dfeaaaaffd5
included,analysis/output/q_eval_nasa_tlx_by_group.png,analysis/output/NASA_TLX_Frustration_Effort_Comparison.png,NASA_TLX_Frustration_Effort_Comparison.png,179660,7b2dd6cf71ecfe9243c2c10f99786afb62aecec3a30fca37c854fa569ac01560
included,analysis/output/Demographics_Prior_Knowledge_Comparison.png,analysis/output/Demographics_Prior_Knowledge_Comparison.png,Demographics_Prior_Knowledge_Comparison.png,128411,129ccfeabc9ff4897dd871b98435ca1e4658841852aec7c5259bdba5a89ff9a0
included,analysis/q_eval_sus_nps_by_group.png,analysis/output/Evaluation_SUS_and_NPS_Comparison.png,Evaluation_SUS_and_NPS_Comparison.png,276578,aa7aff53c1710d36ff7d224b3ad4857b4c6c8c611acb0f6ffab3c36a176b118b
included,analysis/output/q_eval_ueqs_items_profile_1_to_7.png,analysis/output/Evaluation_UEQS_Items_Profile.png,Evaluation_UEQS_Items_Profile.png,218200,8a936e5109bd29fcc3548c5f3de73b6829f10ad78f78d90e69aeede475c5bd26
included,analysis/output/time_per_step_by_group_labeled.png,analysis/output/Process_Time_per_Step_Timeline.png,Process_Time_per_Step_Timeline.png,174495,c3380a9cd9c6dd44ebc7a5c51958daf958bf13123ccfb9e12f7105b9f11c0701
